date,code,sub,mainline
20251209,sz002682,机器人,人工智能
20251209,sz002512,航天,商业航天
20251209,sh603601,航天,商业航天
20251209,sh603278,航天,商业航天
20251209,sz002927,算力,人工智能
20251209,sh600855,航天,商业航天
20251209,sz301517,航天,商业航天
20251209,sz002413,存储,半导体
20251209,sz002229,算力,人工智能
20251209,sz300056,算力,人工智能
20251209,sz300081,算力,人工智能
20251209,sh600673,算力,人工智能
20251209,sz002217,算力,人工智能
20251209,sz003031,光通信,人工智能
20251209,sz002725,芯片,半导体
20251209,sh600330,光通信,人工智能
20251209,sz001330,AI应用,人工智能
20251209,sz002995,AI应用,人工智能
20251209,sh600151,光伏,电网
20251209,sz002329,光伏,电网
20251209,sh601908,光伏,电网
20251209,sh603386,PCB,半导体
20251209,sz000823,PCB,半导体
20251209,sh603516,液冷,人工智能
20251209,sh603090,液冷,人工智能
20251209,sz002346,算力,人工智能
20251209,sh603829,储能,电网
20251209,sz300959,AI应用,人工智能
20251210,sz000886,免税,大消费
20251210,sz000505,食品,大消费
20251210,sz000955,医药,大消费
20251210,sz300189,农业,大消费
20251210,sh603506,机器人,人工智能
20251210,sz003031,光通信,人工智能
20251210,sz002725,芯片,半导体
20251210,sz000070,光通信,人工智能
20251210,sz000936,光通信,人工智能
20251210,sh601869,光通信,人工智能
20251210,sh600184,光通信,人工智能
20251210,sz002682,机器人,人工智能
20251210,sz002105,机器人,人工智能
20251210,sh603879,机器人,人工智能
20251210,sz000678,军工,商业航天
20251210,sz301279,机器人,人工智能
20251210,sz001311,机器人,人工智能
20251210,sh603601,航天,商业航天
20251210,sz002149,航天,商业航天
20251210,sh600330,航天,商业航天
20251210,sh600678,航天,商业航天
20251210,sh688682,算力,人工智能
20251210,sz001360,有色,大周期
20251210,sz001330,AI应用,人工智能
20251210,sz002163,免税,大消费
20251210,sz002607,AI应用,人工智能
20251210,sz000532,有色,大周期
20251211,sh603601,航天,商业航天
20251211,sh600343,航天,商业航天
20251211,sh600678,航天,商业航天
20251211,sz001208,电缆,电网
20251211,sz002471,机器人,人工智能
20251211,sz300265,电缆,电网
20251211,sz002202,航天,商业航天
20251211,sz000859,航天,商业航天
20251211,920576BJ,核电,电网
20251211,sz002519,机器人,人工智能
20251211,sz002544,PCB,半导体
20251211,sh688119,航天,商业航天
20251211,sz002725,芯片,半导体
20251211,sh600105,光通信,人工智能
20251211,sh688662,光通信,人工智能
20251211,sz000035,储能,电网
20251211,sz300266,储能,电网
20251211,sh603506,机器人,人工智能
20251211,sh605055,机器人,人工智能
20251211,sz002639,核电,电网
20251211,sz000890,光通信,人工智能
20251211,sz002309,电缆,电网
20251211,sz002123,AI应用,人工智能
20251212,sh603601,航天,商业航天
20251212,sh600343,航天,商业航天
20251212,sz002149,航天,商业航天
20251212,sz001208,航天,商业航天
20251212,sz002471,机器人,人工智能
20251212,sz300265,航天,商业航天
20251212,920576BJ,核电,电网
20251212,sh600855,航天,商业航天
20251212,sz002927,算力,人工智能
20251212,sh600192,航天,商业航天
20251212,sh600776,航天,商业航天
20251212,sh600990,核电,电网
20251212,sz002347,机器人,人工智能
20251212,sz001296,航天,商业航天
20251212,sz002565,算力,人工智能
20251212,sz300285,航天,商业航天
20251212,sz301079,机器人,人工智能
20251212,sz000801,航天,商业航天
20251212,sz300445,航天,商业航天
20251212,sz301005,航天,商业航天
20251212,sh605090,航天,商业航天
20251212,sh601399,核电,电网
20251212,sh601106,核电,电网
20251212,sz002478,黑色,大周期
20251212,sz002438,核电,电网
20251212,sz000969,有色,大周期
20251212,sz300963,核电,电网
20251212,sh601611,核电,电网
20251212,sz000533,核电,电网
20251212,sz002255,核电,电网
20251212,sh600875,核电,电网
20251212,sz002309,电网,电网
20251212,sz000720,电缆,电网
20251212,sz300062,电缆,电网
20251212,sh601179,算力,人工智能
20251212,sz002451,电缆,电网
20251212,sz002300,电缆,电网
20251212,sh600550,电网,电网
20251212,sh603929,芯片,半导体
20251212,sh601133,芯片,半导体
20251212,sz002989,半导体,半导体
20251212,sh603163,芯片,半导体
20251212,sh688368,芯片,半导体
20251212,sh603031,算力,人工智能
20251212,sz002682,机器人,人工智能
20251212,sz002639,核电,电网
20251212,sh603992,机器人,人工智能
20251212,sh605123,航天,商业航天
20251212,sz000546,有色,大周期
20251212,sz002256,机器人,人工智能
20251212,sz002584,有色,大周期
20251212,sz000510,有色,大周期
20251212,sh600868,有色,大周期
20251212,sz001331,机器人,人工智能
20251212,sz003033,机器人,人工智能
20251212,sh600151,光伏,电网
20251212,sz001330,AI应用,人工智能
20251212,sz000890,光通信,人工智能
20251212,sz002374,饮料,大消费
20251212,sz000862,电力,电网
20251212,sh603610,AI应用,人工智能
20251212,sz002865,光伏,电网
20251212,sh601619,储能,电网
20251212,sh600730,AI应用,人工智能
20251212,sh603698,航天,商业航天
20251215,sz002374,饮料,大消费
20251215,sz002329,食品,大消费
20251215,sz001318,食品,大消费
20251215,sz000995,饮料,大消费
20251215,sh605388,食品,大消费
20251215,sz300997,食品,大消费
20251215,sh600113,食品,大消费
20251215,sh600737,食品,大消费
20251215,sh605339,食品,大消费
20251215,sh600186,算力,人工智能
20251215,sh603601,航天,商业航天
20251215,sz001208,航天,商业航天
20251215,sz002471,核电,电网
20251215,sh600192,核电,电网
20251215,sz002792,光通信,人工智能
20251215,sz002115,航天,商业航天
20251215,sh600879,航天,商业航天
20251215,sz002413,存储,半导体
20251215,920665BJ,航天,商业航天
20251215,sz300423,核电,电网
20251215,sz002697,机器人,人工智能
20251215,sz000620,存储,半导体
20251215,sh688720,存储,半导体
20251215,sh601208,PCB,半导体
20251215,sh601908,光伏,电网
20251215,sh600151,光伏,电网
20251215,sh600135,航天,商业航天
20251215,sh600271,AI应用,人工智能
20251215,sh603871,无人机,商业航天
20251215,sz001317,无人机,商业航天
20251215,sz300118,储能,电网
20251215,sh601778,储能,电网
20251215,sz002053,储能,电网
20251215,sz000825,核电,电网
20251215,sh600399,核电,电网
20251215,sz002639,核电,电网
20251215,sz002300,电缆,电网
20251215,sz002083,有色,大周期
20251215,sz000890,光通信,人工智能
20251215,sz001331,机器人,人工智能
20251215,sz002674,机器人,人工智能
20251215,sz002676,机器人,人工智能
20251215,sz000850,有色,大周期
20251216,sz002697,机器人,人工智能
20251216,sh603528,航天,商业航天
20251216,sz001208,航天,商业航天
20251216,sz002792,光通信,人工智能
20251216,sh600879,航天,商业航天
20251216,sh600198,航天,商业航天
20251216,sz300516,航天,商业航天
20251216,sh605222,电缆,电网
20251216,sh600271,航天,商业航天
20251216,sz002104,机器人,人工智能
20251216,sz002329,食品,大消费
20251216,sz000716,食品,大消费
20251216,sh603696,食品,大消费
20251216,sz002300,电缆,电网
20251216,sz000890,光通信,人工智能
20251216,sz001331,机器人,人工智能
20251216,sz001317,无人机,商业航天
20251216,sz001255,化工,大周期
20251216,sz002607,AI应用,人工智能
20251216,sh603212,光伏,电网
20251217,sh603703,航天,商业航天
20251217,sz002491,光通信,人工智能
20251217,sh601869,光通信,人工智能
20251217,sz003031,光通信,人工智能
20251217,sz301205,光通信,人工智能
20251217,sz002281,光通信,人工智能
20251217,sz002796,光通信,人工智能
20251217,sz002536,液冷,人工智能
20251217,sz002837,液冷,人工智能
20251217,sz301123,液冷,人工智能
20251217,sh603757,液冷,人工智能
20251217,sh603090,液冷,人工智能
20251217,sz000546,有色,大周期
20251217,sz002759,有色,大周期
20251217,sz001203,有色,大周期
20251217,sz002240,有色,大周期
20251217,sz001359,PCB,半导体
20251217,sh603124,PCB,半导体
20251217,sz002916,PCB,半导体
20251217,sh600250,旅游,大消费
20251217,sh600706,旅游,大消费
20251217,sz002188,旅游,大消费
20251217,sz001255,化工,大周期
20251217,sh601399,核电,电网
20251217,sz002735,军工,商业航天
20251217,sz002788,医药,大消费
20251217,sh605365,半导体,半导体
20251217,sh688228,航天,商业航天
20251217,sh600501,航天,商业航天
20251217,sz002044,AI应用,人工智能
20251217,sz001331,机器人,人工智能
20251217,sz002865,光伏,电网
20251217,sh603585,化工,大周期
20251217,sz002931,机器人,人工智能
20251218,sh603703,航天,商业航天
20251218,sz002361,航天,商业航天
20251218,sz002565,航天,商业航天
20251218,sz002977,航天,商业航天
20251218,sz002985,航天,商业航天
20251218,sh603679,航天,商业航天
20251218,sz002149,航天,商业航天
20251218,920885BJ,航天,商业航天
20251218,sh600250,旅游,大消费
20251218,sz000950,医药,大消费
20251218,sz002788,医药,大消费
20251218,sh603716,AI应用,人工智能
20251218,sz000411,医药,大消费
20251218,sz002727,医药,大消费
20251218,sz301017,医药,大消费
20251218,sz000863,旅游,大消费
20251218,sh603777,食品,大消费
20251218,sz002044,AI应用,人工智能
20251218,sz301408,AI应用,人工智能
20251218,sh688246,AI应用,人工智能
20251218,sh605365,半导体,半导体
